id;nom;type_filtre_1;gb_type_filtre_1;themes_tags_filtre_2;gb_themes_tags_filtre_2;filiere_filtre_3;filiere_picto;numfil;gb_sector_filtre_3;esr_filtre_4;departement;hebergeur;adresse;cp;ville;label_innov_up_incubation_2023;gb_label_innov_up;liens_avec_etablissement_esr;gb_linked_with_higher_education_and_research_institutions;accueil_d_entreprises_etrangeres;gb_foreign_business_accommodation;w3;raison_sociale;siret;incubateur;accelerateur;date_mise_a_jour;adresse_complete;coordxy;nombre_de_themes_tags;theme_1_popin;theme_2_popin;theme_3_popin;theme_4_popin;theme_5_popin;gb_theme_1_popin;gb_theme_2_popin;gb_theme_3_popin;gb_theme_4_popin;gb_theme_5_popin
4;21st By CentraleSupélec @ STATION F;Accélérateur;Accelerator;"FoodTech, Agritech, Agrotech;Impact environnemental, Durabilité, économie circulaire;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Industrie / Logistique;Développement de logiciels / Service Cloud / Big data (ou données de masse)";"FoodTech / Agritech / Agrotech;Environmental impact / sustainability / circular economy;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;Industry / Logistic;Software development / Cloud services / Big data";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;75.0;Station F;5 parvis Alan Turing;75013.0;Paris;Oui;Yes;CentraleSupelec - Université Paris Saclay;CentraleSupelec - Paris Saclay University;oui;yes;https://21st.centralesupelec.com/;CENTRALESUPELEC;;non;oui;2023_06_14;Station F 5 parvis Alan Turing;48.834508,2.370634;5.0;FoodTech, Agritech, Agrotech;Impact environnemental, Durabilité, économie circulaire;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;Industrie / Logistique;Développement de logiciels / Service Cloud / Big data (ou données de masse);FoodTech / Agritech / Agrotech;Environmental impact / sustainability / circular economy;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;Industry / Logistic;Software development / Cloud services / Big data
5;3DEXPERIENCE Lab de Dassault Systèmes (Paris Campus);Incubateur;Incubator;"Deeptech;Aéronautique - Spatial - Défense;Tourisme / Ville intelligente / PropTech;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins";"Deeptech;Aeronautics / Space / Defense;Tourism / Smart City / Proptech;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare";7. Deeptechs (IA, Cyber, Quantique…);7_deept.jpg;7;7. Deeptech (AI, Cyber, Quantum…);Non;78.0;;10 rue Marcel Dassault;78140.0;Vélizy-Villacoublay;Non;No;;;oui;yes;https://3dexperiencelab.3ds.com/fr/;;;oui;non;2023_06_14;10 rue Marcel Dassault;48.785924,2.210864;4.0;Deeptech;Aéronautique - Spatial - Défense;Toursime / Ville intelligente / PropTech;Sciences de la vie, Santé, BioTech, Medtech, e-santé, Soins;;Deeptech;Aeronautics / Space / Defense;Tourism / Smart City / Proptech;Lifesciences / Health / Biotech / MedTech / eHealth / Healthcare;
21;Creative Valley;Incubateur, Accélérateur;Incubator, Accelerator;"Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité";"Environmental impact / sustainability / circular economy;Social impact / Solidarity";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;91.0;Le Playground Paris-Saclay;3 boulevard Thomas Gobert;91120.0;Palaiseau;Non;No;;;;;https://www.creative-valley.fr/fr/copie-de-copie-de-adnx-1;CVG CREATIVE VALLEY GROUPE;;oui;oui;2023_06_14;Le Playground Paris-Saclay 3 boulevard Thomas Gobert;48.713063,2.209705;2.0;Impact environnemental, Durabilité, économie circulaire;Impact social / Solidarité;;;;Environmental impact / sustainability / circular economy;Social impact / Solidarity;;;
34;Food Inn Lab by AgroParisTech;Incubateur;Incubator;"FoodTech, Agritech, Agrotech;Impact environnemental, Durabilité, économie circulaire";"FoodTech / Agritech / Agrotech;Environmental impact / Sustainability / Circular economy";6. Agriculture, agro-alimentaire et nutrition;6_agric.jpg;6;6. Agriculture, AgTech/Agri-Food, FoodTech;Oui;91.0;;22 place de l'Agronomie;91120.0;Palaiseau;Non;No;AGROPARISTECH;AGROPARISTECH;oui;yes;https://www.linkedin.com/company/foodinnlab/;AgroParisTech;;oui;non;2023_06_14;22 place de l'Agronomie;48.718527,2.247633;2.0;FoodTech, Agritech, Agrotech;Impact environnemental, Durabilité, économie circulaire;;;;FoodTech / Agritech / Agrotech;Environmental impact / Sustainability / Circular economy;;;
35;Foundry Powered by IFA Paris;Incubateur;Incubator;"Luxe / Beauté / Cosmétique / Mode / Textile;Biens de consommation / Retail / E-commerce";"Luxury / Beauty / Cosmetic / Fashion / Textile;Consumer goods / Retail / E-commerce";1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;75.0;;18-24 quai de la Marne;75019.0;Paris;Non;No;;;oui;yes;https://www.ifaparis.com/fr/programmes/entrepreneur/startup/;;;oui;non;2023_06_14;18-24 quai de la Marne;48.889265,2.382028;2.0;Luxe / Beauté / Cosmétique / Mode / Textile;Biens de consommation / Retail / E-commerce;;;;Luxury / Beauty / Cosmetic / Fashion / Textile;Consumer goods / Retail / E-commerce;;;
62;INRIA Startup Studio - Saclay;Incubateur;Incubator;"Deeptech;Développement de logiciels / Service Cloud / Big data (ou données de masse)";"Deeptech;Software development / Cloud services / Big data";1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Oui;91.0;Campus de l'École Polytechnique bâtiment Alan Turing;1 rue Honoré d'Estienne d'Orves;91120.0;Palaiseau;Non;No;INRIA;INRIA;oui;yes;https://www.inria.fr/en/inria-startup-studio;INRIA;18008904700138;oui;non;2023_06_14;Campus de l'École Polytechnique bâtiment Alan Turing 1 rue Honoré d'Estienne d'Orves;48.715216,2.206048;2.0;Deeptech;Développement de logiciels / Service Cloud / Big data (ou données de masse);;;;Deeptech;Software development / Cloud services / Big data;;;
67;Incubateur du Patrimoine;Incubateur;Incubator;"Impact environnemental, Durabilité, économie circulaire;Tourisme / Ville intelligente / PropTech;Immobilier / Construction;Gouvernement / Institutions Publiques";"Environmental impact / Sustainability / Circular economy;Tourism / Smart City / Proptech;Real Estate / Construction;Government / Public institutions";1. Numérique, Industrie de la donnée et industries créatives;1_digit.jpg;1;1. DigitalTech, Data Industry, Creative & Cultural industries;Non;75.0;Hôtel De Sully;62 rue Saint Antoine;75004.0;Paris;Non;No;;;oui;yes;https://www.lincubateurdupatrimoine.fr/;Centre des Monuments Nationaux;18004601300017;oui;non;2023_06_14;Hôtel De Sully 62 rue Saint Antoine;48.85441,2.363701;4.0;Impact environnemental, Durabilité, économie circulaire;Toursime / Ville intelligente / PropTech;Immobilier / Construction;Gouvernement / Institutions Publiques;;Environmental impact / Sustainability / Circular economy;Tourism / Smart City / Proptech;Real Estate / Construction;Government / Public institutions;
68;La Ruche;Incubateur, Accélérateur;Incubator, Accelerator;"Impact environnemental, Durabilité, économie circulaire;Femmes / FemTech;Impact social / Solidarité";"Environmental impact / Sustainability / Circular economy;Women / FemTech;Social impac";8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;75.0;;24 rue de l'Est;75020.0;Paris;Oui;Yes;;;;;https://la-ruche.net/;L'Académie des Ruches;50299030200049;oui;oui;2023_06_14;24 rue de l'Est;48.871126,2.393389;3.0;Impact environnemental, Durabilité, économie circulaire;Femmes / FemTech;Impact social / Solidarité;;;Environmental impact / Sustainability / Circular economy;Women / FemTech;Social impact / Solidarity;;
72;La Turbine - Cergy Port;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Oui;95.0;;32 boulevard du Port;95000.0;Cergy;Oui;Yes;CY - Cergy Paris Université;CY - Cergy Paris University;oui;yes;https://laturbine-cergypontoise.fr/;Communauté d'Agglomération de Cergy-Pontoise;;oui;non;2023_06_14;32 boulevard du Port;49.032934,2.065594;;;;;;;;;;;
73;La Turbine - Chennevières;Incubateur;Incubator;;;8. Multi-filières;8_multi.jpg;8;8. Multi-Sector;Non;95.0;;16 avenue de Chennevières;95310.0;Saint-Ouen l'Aumône;Oui;Yes;;;;;https://laturbine-cergypontoise.fr/;Communauté d'Agglomération de Cergy-Pontoise;;oui;non;2023_06_14;16 avenue de Chennevières;49.034103,2.10884;;;;;;;;;;;
